NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
Steps,1,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,1,3,1
CharacterChange,5,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,2,0,0,10,1
GameBeans,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,4,1
JAdventure,5,3,0,1,2,0,0,0,0,0,3,2,0,76,0,0,1,0,0,3,0,0.33,15,1
EntityTest,1,1,0,1,1,0,0,0,0,0,1,1,0,245,0,0,1,0,0,17,0,0.67,17,1
PlayerTest,1,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0,3,1
LineTest,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,1,1
MonsterFactoryTest,2.29,3,0,1,2,0,0,0,1,0,3,2,0,77,0,0,3,0,0,7,0,1,16,1
MonsterTest,1,1,0,1,7,0,0,0,1,0,9,1,0,57,0,0,2,0,0,5,0,0.4,5,1
EncounteredNpcRepositoryTest,1,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,2,1
BackpackDebugPrompt,4.5,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,2,0,0,2,0,1,9,1
MainMenu,4,6,0,1,4,0,0,0,0,1,6,4,2000,171,0,0,0,0,0,9,0,0,36,1
ILocation,0,0,0,1,0,1,1,0,0,0,0,0,0,29,0,0,0,0,0,20,0,0,0,1
CoordinateTest,1,3,0,1,1,0,0,1,0,0,5,1,0,19,0,0,0,0,0,2,0,0,2,1
LocationTest,1,0,0,1,1,0,0,0,0,0,1,0,0,47,0,0,0,0,0,4,0,0,4,1
NpcRepositoryTest,1,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,7,1,1,7,0.88
LocationRepositoryTest,1,5,0,1,2,0,0,0,0,0,5,2,0,35,0,0,1,0,0,4,1,0.5,4,0.8
Monster,2.33,0,0,1,0,1,1,0,0,1,0,0,0,38,0,0,2,0,7,3,1,0,7,0.67
EncounteredNpcRepository,1.67,0,0,1,0,0,0,0,0,1,0,0,0,36,0,0,2,0,0,3,1,0,5,0.67
MonsterFactory,3,0,0,1,6,1,6,0,0,0,6,0,0,67,0,0,1,0,0,7,1,1,21,0.5
Coordinate,1.67,0,0,1,0,1,2,0,0,0,0,0,0,74,0,0,3,3,0,9,3,0,15,0.4
Client,4.5,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,2,2,1,9,0.33
Game,2.33,1,0,1,1,0,0,2,2,0,1,1,0,66,0,0,5,0,0,3,5,0,7,0.29
MenuItem,1,0,0,1,0,2,2,2,0,0,0,0,0,48,0,0,3,6,0,9,0,0,9,0.14
TestFeatures,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DeathException,1,0,0,1,0,2,4,0,0,2,0,0,0,13,0,0,2,1,0,2,0,1,2,0
GameModeType,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bugbear,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
Giant,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
Goblin,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
Skeleton,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
Troll,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
Wolf,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RepositoryException,1,0,0,1,0,0,0,0,0,3,0,0,0,12,0,0,1,0,0,2,0,0,2,0
Command,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ItemStack,1,0,0,1,0,0,0,2,0,0,0,0,0,21,0,0,2,3,0,4,2,0.33,4,0
ChooseClassMenu,3,0,0,1,2,0,0,0,0,1,3,0,0,30,0,0,0,0,0,2,0,1,6,0
Direction,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LocationType,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
