NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
Steps,1.0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,1.0,3,1.0,0.03311597548626111,False
CharacterChange,5.0,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,2,0,0.0,10,1.0,0.041670090038112687,False
GameBeans,1.0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0.0,4,1.0,0.6530612244897959,False
JAdventure,5.0,3,0,1,2,0,0,0,0,0,3,2,0,76,0,0,1,0,0,3,0,0.33,15,1.0,0.0397902171054766,False
EntityTest,1.0,1,0,1,1,0,0,0,0,0,1,1,0,245,0,0,1,0,0,17,0,0.67,17,1.0,0.26214400311691827,False
PlayerTest,1.0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0.0,3,1.0,0.06250459410114835,False
LineTest,1.0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1.0,1,1.0,1,0
MonsterFactoryTest,2.29,3,0,1,2,0,0,0,1,0,3,2,0,77,0,0,3,0,0,7,0,1.0,16,1.0,0.8750001389233047,False
MonsterTest,1.0,1,0,1,7,0,0,0,1,0,9,1,0,57,0,0,2,0,0,5,0,0.4,5,1.0,0.08164184343800698,False
EncounteredNpcRepositoryTest,1.0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0.0,2,1.0,0.12499999999999996,False
BackpackDebugPrompt,4.5,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,2,0,0,2,0,1.0,9,1.0,0.12245477974349867,False
MainMenu,4.0,6,0,1,4,0,0,0,0,1,6,4,2000,171,0,0,0,0,0,9,0,0.0,36,1.0,0.07310007141492343,True
ILocation,0.0,0,0,1,0,1,1,0,0,0,0,0,0,29,0,0,0,0,0,20,0,0.0,0,1.0,0.03762543485655416,False
