NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
Counter,0.0,0,0,1.0,0,1,3,0.0,0,0,0,0,0,46,0,0,0,0,0,7,0,0.0,0,1.0,0.12244982250047956,False
CounterService,1.17,0,0,1.0,0,1,3,0.0,0,0,0,0,0,45,0,0,2,0,0,6,0,1.0,7,1.0,0.2500000000000001,False
Client,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,15,0,0,0,0,2,6,0,0.0,0,1.0,1,0
ConnectionListener,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,4,0,0,0,0,2,2,0,0.0,0,1.0,1,0
NioBaseServer,1.12,0,0,1.0,0,1,1,0.0,0,1,0,0,0,173,0,0,8,0,2,16,0,0.06,18,1.0,0.2595241439527242,False
Acceptor,3.75,4,0,1.0,1,0,0,0.5,0,0,6,1,0,73,0,0,0,0,0,4,0,0.33,15,1.0,1,0
NioClient,1.86,3,0,0.23,3,0,0,0.0,1,2,3,3,0,104,6,0,2,0,0,14,0,0.38,26,1.0,0.2111954610121013,False
NioServer,1.75,3,2,0.31,3,0,0,0.0,0,2,3,3,0,115,2,0,1,0,0,8,0,0.5,14,1.0,0.14366906944048558,False
Receiver,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,25,0,0,0,0,5,3,0,0.0,0,1.0,1,0
ReceiverAdapter,1.0,0,0,1.0,0,1,2,0.0,0,0,0,0,0,19,0,0,0,0,4,3,0,0.0,3,1.0,0.022350668811056587,False
TcpBaseServer,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,17,0,0,1,0,2,4,0,0.0,4,1.0,0.12499999999999997,False
TcpClient,1.81,2,0,0.33,2,0,0,0.0,1,2,2,2,0,114,6,0,2,0,0,16,0,0.27,29,1.0,0.1946738475541299,False
Executions,6.0,0,0,1.0,1,0,0,0.0,0,0,1,0,0,163,0,0,0,0,0,2,0,1.0,12,1.0,0.1675212803822054,False
StreamableCallable,1.17,0,0,1.0,0,0,0,0.0,2,0,0,0,0,69,2,0,3,0,0,6,0,0.5,7,1.0,1,0
ExecutorNotification,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,0,3,0,0.0,0,1.0,0.17265384615384619,False
GridFilesystem,1.47,0,0,1.0,2,0,0,0.0,2,0,2,0,0,98,0,0,4,0,0,15,0,0.41,22,1.0,0.09076502582606685,False
MethodInvoker,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,14,0,0,0,0,0,1,0,1.0,0,1.0,0.1758549944406815,False
MethodLookup,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,1,0,1.0,0,1.0,0.25,False
ReplicatedMap,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,17,0,0,0,0,0,8,0,0.0,0,1.0,1,0
Request,0.93,0,0,1.0,1,0,0,0.0,1,1,3,0,0,74,0,0,4,0,0,15,0,0.03,14,1.0,0.04979078569429581,False
RspFilter,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,19,0,0,0,0,0,2,0,0.0,0,1.0,0.17993024815309547,False
Response,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,24,0,0,0,0,0,2,0,0.0,0,1.0,0.05841204345543804,False
RpcDispatcherAnycastTest,1.0,3,0,1.0,3,0,0,0.0,1,1,3,3,0,83,0,0,6,0,0,3,0,1.0,3,1.0,1,0
Target,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
RpcDispatcherInterruptTest,1.33,2,0,1.0,2,0,0,0.0,1,1,2,2,0,87,0,0,4,0,0,6,0,0.13,8,1.0,1,0
RpcDispatcherSerializationTest,1.6,5,0,1.0,4,0,0,0.0,2,1,5,4,0,155,0,0,5,0,0,5,0,0.8,8,1.0,1,0
LockNotification,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,9,0,0,0,0,0,7,0,0.0,0,1.0,1,0
ForkChannel,1.88,1,0,1.0,1,0,0,0.0,0,1,5,1,0,300,14,0,3,0,0,24,0,0.09,45,1.0,0.20509429980171148,False
ForkProtocol,1.67,1,0,1.0,1,0,0,0.0,0,1,1,1,0,31,0,0,1,0,0,3,0,0.0,5,1.0,0.25,False
UnknownForkHandler,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,18,0,0,0,0,0,2,0,0.0,0,1.0,0.06653781442947769,False
Log,0.0,0,0,1.0,0,16,28,0.0,0,0,0,0,0,48,0,0,0,0,2,26,0,0.0,0,1.0,0.2400000000000001,False
CustomLogFactory,0.0,0,0,1.0,0,1,2,0.0,0,0,0,0,0,6,0,0,0,0,0,2,0,0.0,0,1.0,1,0
JDKLogImpl,1.56,0,0,1.0,0,0,0,0.0,0,0,0,0,0,205,0,0,2,0,0,32,0,0.2,50,1.0,0.13858883417214507,False
Log4J2LogImpl,1.41,0,0,1.0,0,0,0,0.0,0,0,0,0,0,164,0,0,2,0,0,29,0,0.85,41,1.0,0.19999999999999996,False
CertficateCNMatcher,1.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,28,0,0,2,0,0,2,0,1.0,3,1.0,0.013628038018676132,False
CLEAR_FLAGS,2.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,11,0,0,1,0,0,1,0,1.0,2,1.0,1,0
DELIVERY_TIME,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,46,0,0,1,0,0,4,0,1.0,4,1.0,0.07129337291507269,0
DISCARD_PAYLOAD,3.5,0,0,1.0,0,0,0,0.0,0,1,0,0,0,34,0,0,3,0,0,2,0,1.0,7,1.0,1,0
