NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
SynchronizedJBBSortedStorage,1,0,0,1,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,5,0,1,5,1
ReportProps,1.5,0,0,1,0,8,25,0,0,2,0,0,0,95,0,0,2,0,0,12,0,0,18,0.92
TextBlock,2.4,0,0,1,0,4,7,0,0,0,0,0,0,212,0,0,6,0,0,15,0,0.31,36,0.91
TextColumn,1.67,0,0,1,1,2,4,0,0,0,5,0,0,115,0,0,5,0,0,9,0,0.29,15,0.88
JBBDataStorage,0,0,0,1,0,5,20,0,0,0,0,0,0,39,0,0,1,0,5,6,0,0,0,0.86
SynchronizedJBBDataStorage,1,0,0,1,0,0,0,0,1,0,0,0,0,43,0,0,1,0,1,7,1,1,7,0.86
MapDataStorage,1,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,3,0,1,8,0,1,8,0.86
JBButil,1.55,1,0,1,1,0,0,0,0,0,1,1,0,382,0,0,14,0,0,33,0,0.1,51,0.8
JBBSortedStorage,0,0,0,1,0,2,5,0,0,0,0,0,0,31,4,0,1,0,2,4,0,0,0,0.8
TreeMapDataStorage,1.8,0,0,0.33,0,0,0,0,0,1,0,0,0,57,0,0,2,0,0,5,0,0.5,9,0.8
TextMetrics,3.25,11,2,1,3,2,2,1,0,1,20,2,1000,154,1,0,3,0,0,4,0,0.33,13,0.75
Infrastructure,1.25,0,0,1,3,0,0,0,0,0,3,0,0,103,0,0,1,0,0,4,0,0,5,0.75
Warehouse,1.55,10,0,1,11,8,17,0,3,0,31,6,1000,239,0,0,17,5,0,22,0,0.23,34,0.71
LoopBounds,1.67,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,3,0,1,6,1,0.2,10,0.71
District,1.25,2,0,1,7,6,12,0,2,0,17,2,0,172,0,0,11,5,0,20,0,0.23,25,0.7
NewOrderTransaction,2.25,23,0,0,10,1,1,1,6,1,55,6,2010,381,4,0,23,1,0,12,2,0.4,27,0.67
DeliveryTransaction,2.45,15,0,0,12,1,1,1.5,5,1,45,8,2010,285,3,0,13,1,0,11,2,0.29,27,0.64
Stock,1.1,1,0,1,2,4,4,0,1,0,4,1,0,90,0,0,10,3,0,10,0,0.25,11,0.6
OrderStatusTransaction,3.1,22,0,0,9,0,0,2,7,1,45,5,3010,411,2,0,33,1,0,10,2,0.36,31,0.6
PaymentTransaction,2.8,25,0,0,9,0,0,1.5,6,1,62,5,10,439,2,0,20,1,0,10,2,0.25,28,0.6
Company,2.3,11,0,1,12,12,30,3.5,3,0,44,5,110,704,0,0,36,12,0,37,7,0.13,85,0.58
StockLevelTransaction,2.67,7,0,0,10,0,0,0.5,5,1,24,5,2000,220,1,0,13,1,0,9,2,0.25,24,0.56
Transaction,0.62,1,0,1,1,1,3,0,0,0,1,1,0,121,0,0,18,0,6,13,9,0.04,8,0.55
TimerData,1.4,0,0,1,3,3,7,0,1,0,16,0,0,648,0,0,25,15,0,35,0,0.22,49,0.53
TransactionLogBuffer,4.65,0,0,1,1,8,31,3,0,0,1,0,0,929,0,0,16,1,0,31,7,0.69,144,0.51
MultiVMReporter,5.67,0,0,1,2,0,0,0,0,0,4,0,0,95,0,0,10,0,0,3,0,0.33,17,0.5
Reporter,7,0,0,1,2,0,0,0,0,0,7,0,0,126,0,0,11,0,0,3,0,0.67,21,0.5
Table,5.75,1,0,1,1,2,2,0,1,0,1,1,0,129,0,0,7,0,0,4,0,0,23,0.5
TransactionManager,3.42,22,0,1,5,2,3,1,2,0,46,3,10,328,0,0,14,2,0,12,1,0.31,41,0.5
Controller,5.75,5,0,1,4,0,0,0.5,0,0,14,1,0,182,0,0,9,0,0,4,0,0.83,23,0.5
DeliveryHandler,1,2,0,1,1,1,1,0,0,0,2,1,0,24,0,0,2,0,0,2,0,1,2,0.5
JBBLogFormatter,1,0,0,1,0,0,0,0,0,2,0,0,0,23,0,0,3,0,0,2,0,1,2,0.5
PrintLastSeq,2,0,0,1,1,0,0,0,0,0,3,0,0,20,0,0,1,0,0,1,0,1,2,0.5
SaveOutput,1,0,0,1,1,0,0,0,0,3,1,0,0,69,0,0,4,0,0,5,3,1,5,0.5
Check,7.33,8,0,1,4,0,0,0.5,0,0,15,4,2000,115,0,0,1,0,0,3,0,1,22,0.5
