NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
SynchronizedJBBSortedStorage,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,30,0,0,0,0,0,5,0,1.0,5,1.0,1,0
ReportProps,1.5,0,0,1.0,0,8,25,0.0,0,2,0,0,0,95,0,0,2,0,0,12,0,0.0,18,0.92,0.1643717577334359,False
TextBlock,2.4,0,0,1.0,0,4,7,0.0,0,0,0,0,0,212,0,0,6,0,0,15,0,0.31,36,0.91,0.11879534531289891,False
TextColumn,1.67,0,0,1.0,1,2,4,0.0,0,0,5,0,0,115,0,0,5,0,0,9,0,0.29,15,0.88,0.10557236478968093,False
JBBDataStorage,0.0,0,0,1.0,0,5,20,0.0,0,0,0,0,0,39,0,0,1,0,5,6,0,0.0,0,0.86,1,0
SynchronizedJBBDataStorage,1.0,0,0,1.0,0,0,0,0.0,1,0,0,0,0,43,0,0,1,0,1,7,1,1.0,7,0.86,1,0
MapDataStorage,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,48,0,0,3,0,1,8,0,1.0,8,0.86,0.3858056726767274,False
JBButil,1.55,1,0,1.0,1,0,0,0.0,0,0,1,1,0,382,0,0,14,0,0,33,0,0.1,51,0.8,0.2268954280305792,False
JBBSortedStorage,0.0,0,0,1.0,0,2,5,0.0,0,0,0,0,0,31,4,0,1,0,2,4,0,0.0,0,0.8,1,0
TreeMapDataStorage,1.8,0,0,0.33,0,0,0,0.0,0,1,0,0,0,57,0,0,2,0,0,5,0,0.5,9,0.8,0.12245003286680209,False
TextMetrics,3.25,11,2,1.0,3,2,2,1.0,0,1,20,2,1000,154,1,0,3,0,0,4,0,0.33,13,0.75,0.01780426528807516,False
Infrastructure,1.25,0,0,1.0,3,0,0,0.0,0,0,3,0,0,103,0,0,1,0,0,4,0,0.0,5,0.75,0.29024943310657597,False
Warehouse,1.55,10,0,1.0,11,8,17,0.0,3,0,31,6,1000,239,0,0,17,5,0,22,0,0.23,34,0.71,0.0425363884711127,False
LoopBounds,1.67,0,0,1.0,0,0,0,0.0,0,0,0,0,0,71,0,0,3,0,1,6,1,0.2,10,0.71,0.08996426316835732,False
District,1.25,2,0,1.0,7,6,12,0.0,2,0,17,2,0,172,0,0,11,5,0,20,0,0.23,25,0.7,0.16489885376884536,False
