NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
AuditTrigger,1,0,0,1,2,0,0,0,0,0,3,0,0,39,0,0,1,0,2,0,0,2,1,
ITrigger,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,5,1,0,1,0,1,
CustomClassLoader,1.4,0,0,1,1,0,0,0,0,3,1,0,0,80,0,0,3,0,5,0,0.67,7,1,
1,1,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,1,1,1,
TriggersTest,1.08,0,0,1,2,0,0,0,0,0,2,0,0,208,0,0,4,0,13,0,0.71,14,1,
TestTrigger,1,3,0,1,2,0,0,0,0,0,3,2,0,10,0,0,0,0,1,0,1,1,1,
CrossPartitionTrigger,1,4,0,1,3,0,0,0,0,0,4,3,0,10,0,0,0,0,1,0,1,1,1,
CrossTableTrigger,1,4,0,1,3,0,0,0,0,0,4,3,0,11,0,0,0,0,1,0,1,1,1,
SchemaChangeListener,0.95,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,2,19,0,0,18,1,
TableId,1.23,0,0,1,2,7,10,0,0,0,4,0,0,82,0,0,1,0,13,0,0.15,16,1,
SchemaAnnouncementDiagnostics,1.6,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,1,0,5,0,1,8,1,
SchemaTransformation,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,1,
IndexMetadataTest,1,0,0,1,1,0,0,0,0,0,1,0,0,27,0,0,0,0,3,0,0,3,1,
SchemaTest,1,2,0,1,2,0,0,0,0,0,2,2,0,46,0,0,0,0,2,0,0,2,1,
RangeTombstone,1.33,0,0,1,2,3,8,0,2,0,3,0,0,53,0,0,2,0,6,0,0,8,1,
AbstractReadQuery,1,0,0,1,0,0,0,0,0,1,0,0,0,86,7,0,5,2,10,0,0,10,1,
ArrayClustering,1,0,0,1,1,0,0,0,0,2,1,0,0,24,3,0,1,1,4,0,0,4,1,
ArrayClusteringBound,1,0,1,1,1,0,0,0,0,3,1,0,0,31,3,0,1,0,5,0,0,5,1,
ArrayClusteringBoundOrBoundary,2,0,0,1,2,0,0,0,0,2,2,0,0,15,1,2,0,2,2,0,1,4,1,
ArrayClusteringBoundary,1,0,1,1,2,0,0,0,0,3,2,0,0,36,4,0,1,0,6,0,0,6,1,
BufferClustering,1,0,0,1,1,0,0,0,0,2,2,0,0,24,3,0,1,1,4,0,0,4,1,
BufferClusteringBound,1,0,0,1,1,0,0,0,0,3,1,0,0,51,8,0,1,0,9,0,0,9,1,
BufferClusteringBoundary,1,0,0,1,2,0,0,0,0,3,2,0,0,42,6,0,1,0,7,0,0,7,1,
CassandraKeyspaceWriteHandler,1.6,2,0,1,2,0,0,0,0,0,2,2,0,68,0,0,1,0,5,0,0,8,1,
KeyspaceWriteHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0,0,0,1,
WriteContext,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,1,1,0,1,0,1,
CassandraTableWriteHandler,1,2,0,1,1,0,0,0,0,0,3,1,0,18,0,0,1,0,2,0,1,2,1,
TableWriteHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,0,1,
1,1,0,0,1,0,0,0,0,0,1,0,0,0,47,1,0,0,0,9,0,0,9,1,
ArrayBackedBuilder,1.22,0,0,1,0,0,0,0,0,1,0,0,0,90,1,0,4,0,9,0,0,11,1,
Clusterable,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,
ColumnFamilyStoreMBean,0,0,0,1,0,2,6,0,0,0,0,0,0,187,0,0,0,0,36,0,0,0,1,
Builder,2,0,0,1,3,1,2,0,1,0,4,0,0,43,0,0,4,0,3,0,0,6,1,
Serializer,1.5,5,0,1,2,2,6,0,0,0,5,2,0,28,0,0,0,0,4,0,0,6,1,
DisallowedDirectoriesMBean,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,4,0,0,0,1,
EmptyIterators,1.4,1,0,1,5,0,0,0,0,0,7,1,0,179,0,0,0,0,5,0,0,7,1,
EmptyBasePartitionIterator,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,4,1,
ExpiredLivenessInfo,1,0,2,1,0,0,0,0,0,2,0,0,0,28,0,0,0,0,4,0,0,4,1,
ExpiringLivenessInfo,1.3,0,7,0.33,2,0,0,0,0,1,2,0,0,75,0,0,2,1,10,0,0.17,13,1,
RangeTombstoneList,2.3,12,0,1,6,1,14,2,0,0,12,6,100,723,15,0,8,0,20,0,0.27,46,1,
NativeClustering,1.36,7,0,1,1,0,0,0,0,0,7,1,0,130,0,0,2,0,14,0,0.02,19,1,
ForKey,3,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,3,1,
RowPositionSerializer,2.33,0,0,1,6,0,0,0,0,0,12,0,0,54,0,0,0,0,3,0,1,7,1,
SnapshotCommandSerializer,1,7,0,1,2,0,0,1,0,0,7,2,1000,27,0,0,0,0,3,0,0.33,3,1,
TruncateResponseSerializer,1,6,0,1,2,0,0,1,0,0,6,2,1000,24,0,0,0,0,3,0,0.33,3,1,
UnfilteredDeserializer,1.78,0,0,1,0,0,0,0,1,0,0,0,0,140,0,0,10,0,9,0,0.32,16,1,
UnfilteredValidation,4,3,0,1,2,0,0,0,0,0,3,2,0,72,0,0,2,0,2,0,1,8,1,
VirtualTablePartitionRangeReadQuery,1.71,0,0,1,0,0,0,0,0,3,0,0,0,83,4,0,1,0,7,0,0.07,12,1,
VirtualTableReadQuery,0.8,0,0,1,1,0,0,0,0,2,1,0,0,35,3,0,0,1,5,0,0,4,1,
CellTest,1.36,0,0,1,13,0,0,0,0,0,22,0,0,371,0,0,5,0,25,0,0.11,34,1,
SimplePurger,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,1,0,2,0,1,2,1,
ClusteringBoundTest,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,2,1,
