NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
AuditTrigger,1.0,0,0,1.0,2,0,0,0.0,0,0,3,0,0,39,0,0,1,0,2,0,0.0,2,1.0,,1,0
ITrigger,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,10,0,0,0,5,1,0,1.0,0,1.0,,1,0
CustomClassLoader,1.4,0,0,1.0,1,0,0,0.0,0,3,1,0,0,80,0,0,3,0,5,0,0.67,7,1.0,,1,0
1,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,7,0,0,0,0,1,0,1.0,1,1.0,,1,0
TriggersTest,1.08,0,0,1.0,2,0,0,0.0,0,0,2,0,0,208,0,0,4,0,13,0,0.71,14,1.0,,1,0
TestTrigger,1.0,3,0,1.0,2,0,0,0.0,0,0,3,2,0,10,0,0,0,0,1,0,1.0,1,1.0,,1,0
CrossPartitionTrigger,1.0,4,0,1.0,3,0,0,0.0,0,0,4,3,0,10,0,0,0,0,1,0,1.0,1,1.0,,1,0
CrossTableTrigger,1.0,4,0,1.0,3,0,0,0.0,0,0,4,3,0,11,0,0,0,0,1,0,1.0,1,1.0,,1,0
SchemaChangeListener,0.95,0,0,1.0,0,0,0,0.0,0,0,0,0,0,79,0,0,0,2,19,0,0.0,18,1.0,,1,0
TableId,1.23,0,0,1.0,2,7,10,0.0,0,0,4,0,0,82,0,0,1,0,13,0,0.15,16,1.0,,1,0
SchemaAnnouncementDiagnostics,1.6,0,0,1.0,0,0,0,0.0,0,0,0,0,0,34,0,0,1,0,5,0,1.0,8,1.0,,1,0
SchemaTransformation,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,12,0,0,0,0,1,0,1.0,0,1.0,,1,0
IndexMetadataTest,1.0,0,0,1.0,1,0,0,0.0,0,0,1,0,0,27,0,0,0,0,3,0,0.0,3,1.0,,1,0
SchemaTest,1.0,2,0,1.0,2,0,0,0.0,0,0,2,2,0,46,0,0,0,0,2,0,0.0,2,1.0,,1,0
RangeTombstone,1.33,0,0,1.0,2,3,8,0.0,2,0,3,0,0,53,0,0,2,0,6,0,0.0,8,1.0,,0.030120862115008983,False
AbstractReadQuery,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,86,7,0,5,2,10,0,0.0,10,1.0,,0.2582684727290632,False
ArrayClustering,1.0,0,0,1.0,1,0,0,0.0,0,2,1,0,0,24,3,0,1,1,4,0,0.0,4,1.0,,0.16326530612244894,False
ArrayClusteringBound,1.0,0,1,1.0,1,0,0,0.0,0,3,1,0,0,31,3,0,1,0,5,0,0.0,5,1.0,,0.04584301271493927,False
ArrayClusteringBoundOrBoundary,2.0,0,0,1.0,2,0,0,0.0,0,2,2,0,0,15,1,2,0,2,2,0,1.0,4,1.0,,0.04141882460735262,False
ArrayClusteringBoundary,1.0,0,1,1.0,2,0,0,0.0,0,3,2,0,0,36,4,0,1,0,6,0,0.0,6,1.0,,0.040957260414608176,False
BufferClustering,1.0,0,0,1.0,1,0,0,0.0,0,2,2,0,0,24,3,0,1,1,4,0,0.0,4,1.0,,0.25,False
BufferClusteringBound,1.0,0,0,1.0,1,0,0,0.0,0,3,1,0,0,51,8,0,1,0,9,0,0.0,9,1.0,,0.2400014503986679,False
BufferClusteringBoundary,1.0,0,0,1.0,2,0,0,0.0,0,3,2,0,0,42,6,0,1,0,7,0,0.0,7,1.0,,0.040940207302381244,False
CassandraKeyspaceWriteHandler,1.6,2,0,1.0,2,0,0,0.0,0,0,2,2,0,68,0,0,1,0,5,0,0.0,8,1.0,,0.03176900540856005,False
KeyspaceWriteHandler,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,1,3,0,0.0,0,1.0,,1,0
WriteContext,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,5,0,0,0,1,1,0,1.0,0,1.0,,1,0
CassandraTableWriteHandler,1.0,2,0,1.0,1,0,0,0.0,0,0,3,1,0,18,0,0,1,0,2,0,1.0,2,1.0,,0.03522040754224114,False
TableWriteHandler,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,4,0,0,0,1,1,0,1.0,0,1.0,,1,0
1,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,47,1,0,0,0,9,0,0.0,9,1.0,,1,0
ArrayBackedBuilder,1.22,0,0,1.0,0,0,0,0.0,0,1,0,0,0,90,1,0,4,0,9,0,0.0,11,1.0,,1,0
Clusterable,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,4,0,0,0,0,1,0,1.0,0,1.0,,1,0
ColumnFamilyStoreMBean,0.0,0,0,1.0,0,2,6,0.0,0,0,0,0,0,187,0,0,0,0,36,0,0.0,0,1.0,,0.35034885971349905,False
Builder,2.0,0,0,1.0,3,1,2,0.0,1,0,4,0,0,43,0,0,4,0,3,0,0.0,6,1.0,,1,0
Serializer,1.5,5,0,1.0,2,2,6,0.0,0,0,5,2,0,28,0,0,0,0,4,0,0.0,6,1.0,,1,0
DisallowedDirectoriesMBean,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,10,0,0,0,1,4,0,0.0,0,1.0,,0.3139717425431708,False
EmptyIterators,1.4,1,0,1.0,5,0,0,0.0,0,0,7,1,0,179,0,0,0,0,5,0,0.0,7,1.0,,0.15877166263927828,False
EmptyBasePartitionIterator,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,20,0,0,0,0,4,0,0.0,4,1.0,,1,0
ExpiredLivenessInfo,1.0,0,2,1.0,0,0,0,0.0,0,2,0,0,0,28,0,0,0,0,4,0,0.0,4,1.0,,1,0
ExpiringLivenessInfo,1.3,0,7,0.33,2,0,0,0.0,0,1,2,0,0,75,0,0,2,1,10,0,0.17,13,1.0,,1,0
RangeTombstoneList,2.3,12,0,1.0,6,1,14,2.0,0,0,12,6,100,723,15,0,8,0,20,0,0.27,46,1.0,,0.2964606784815498,False
NativeClustering,1.36,7,0,1.0,1,0,0,0.0,0,0,7,1,0,130,0,0,2,0,14,0,0.02,19,1.0,,0.1968486267195066,False
ForKey,3.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,1,0,1.0,3,1.0,,1,0
