NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
GenerateBidiClass,7.91,3,0,1,3,0,0,2.5,2,0,24,1,0,527,0,0,6,0,0,11,0,0.09,87,1
GenerateBidiTestData,5.09,0,0,1,2,0,0,2.5,0,0,22,0,0,1213,0,0,13,0,0,56,0,0.05,285,1
BidiClass,3,0,0,1,0,0,0,0,2,0,0,0,0,233,0,0,5,0,0,3,0,0,9,1
BidiResolver,2.5,3,0,1,6,0,0,0,0,0,15,2,0,213,0,0,1,0,0,16,0,0.1,40,1
TextInterval,2.36,1,0,1,3,1,4,0,1,0,4,1,0,106,0,0,5,6,0,14,0,0.02,33,1
UnicodeBidiAlgorithm,6.15,0,0,1,2,0,0,0,0,0,2,0,0,791,3,0,1,0,0,34,0,0,209,1
BidiAlgorithmTestCase,6.25,0,0,1,2,0,0,0,0,0,3,0,0,231,0,0,7,0,0,8,0,0,50,1
BidiClassTestCase,3,0,0,1,3,0,0,0,0,0,3,0,0,29,0,0,0,0,0,2,0,0,6,1
AbstractPaintingState,1.41,3,0,1,1,18,33,0,1,0,7,1,0,525,0,0,3,2,2,29,0,0.02,41,1
ContentHandlerFactoryRegistry,1.6,0,0,1,1,2,2,0,0,0,1,0,0,89,0,0,2,0,0,5,0,0.17,8,1
ColorSpaceCache,3,1,0,1,1,2,4,0,1,0,1,1,0,76,0,0,3,0,0,2,0,1,6,1
ContentHandlerFactory,0,0,0,1,0,4,4,0,0,0,0,0,0,46,0,0,0,0,6,2,0,0,0,1
ObjectSource,0,0,0,1,0,3,3,0,0,0,0,0,0,13,0,0,0,0,6,2,0,0,0,1
ObjectBuiltListener,0,0,0,1,0,6,6,0,0,0,0,0,0,9,0,0,0,0,7,1,0,1,0,1
CloseBlockerOutputStream,1,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,2,0,1,2,1
BreakUtil,3,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,9,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,1,0,1,1,1
ColorProfileUtil,1,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0,3,1
CompareUtil,2.4,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,1,0,0,5,0,0,12,1
ConversionUtils,5,0,0,1,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,3,0,0,15,1
DataURIResolver,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,0,1,1,1
DataURLUtil,1,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,3,0,0,3,1
DOM2SAX,5.86,0,0,1,1,2,2,0,0,0,1,0,0,257,0,0,5,0,0,7,0,0.4,41,1
HexEncoder,2,0,0,1,1,0,0,0,0,0,1,0,0,40,0,0,0,0,0,3,0,0,6,1
LanguageTags,1.67,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3,0,0,5,1
ListUtil,1,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0,3,1
LogUtil,1.67,0,0,1,1,0,0,0,0,0,2,0,0,33,0,0,0,0,0,3,0,0,5,1
OCAColorSpace,2.6,0,0,1,0,0,0,0,0,1,0,0,0,45,0,0,1,0,0,5,0,0,13,1
UnclosableInputStream,1,0,0,1,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,2,0,1,2,1
WriterOutputStream,1,0,0,1,0,0,0,0,0,1,0,0,0,47,0,0,1,0,0,7,0,1,7,1
XMLUtil,2.67,0,0,1,1,0,0,0,0,0,2,0,0,303,14,0,0,0,0,18,0,0.01,48,1
AdvancedMessageFormatTestCase,1,0,0,1,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,5,0,0,5,1
BitmapImageUtilTestCase,1.83,0,0,1,2,0,0,0,0,0,5,0,0,122,0,0,2,0,0,6,0,0,11,1
CharUtilitiesTestCase,2.2,0,0,1,1,0,0,0,0,0,4,0,0,45,0,0,0,0,0,5,0,0,11,1
ColorUtilTestCase,1.12,2,0,1,4,0,0,0,1,0,7,2,0,295,0,0,1,0,0,8,0,0.04,9,1
