NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
GenerateBidiClass,7.91,3,0,1.0,3,0,0,2.5,2,0,24,1,0,527,0,0,6,0,0,11,0,0.09,87,1.0,0.23263306426394265,False
GenerateBidiTestData,5.09,0,0,1.0,2,0,0,2.5,0,0,22,0,0,1213,0,0,13,0,0,56,0,0.05,285,1.0,1.3426823862812347,False
BidiClass,3.0,0,0,1.0,0,0,0,0.0,2,0,0,0,0,233,0,0,5,0,0,3,0,0.0,9,1.0,0.13759811612633896,False
BidiResolver,2.5,3,0,1.0,6,0,0,0.0,0,0,15,2,0,213,0,0,1,0,0,16,0,0.1,40,1.0,0.07219264142924608,False
TextInterval,2.36,1,0,1.0,3,1,4,0.0,1,0,4,1,0,106,0,0,5,6,0,14,0,0.02,33,1.0,0.2021705153317939,False
UnicodeBidiAlgorithm,6.15,0,0,1.0,2,0,0,0.0,0,0,2,0,0,791,3,0,1,0,0,34,0,0.0,209,1.0,0.4700257324735587,False
BidiAlgorithmTestCase,6.25,0,0,1.0,2,0,0,0.0,0,0,3,0,0,231,0,0,7,0,0,8,0,0.0,50,1.0,0.28015641959602416,False
BidiClassTestCase,3.0,0,0,1.0,3,0,0,0.0,0,0,3,0,0,29,0,0,0,0,0,2,0,0.0,6,1.0,0.2094231496481403,False
AbstractPaintingState,1.41,3,0,1.0,1,18,33,0.0,1,0,7,1,0,525,0,0,3,2,2,29,0,0.02,41,1.0,1.6707936383395623,False
ContentHandlerFactoryRegistry,1.6,0,0,1.0,1,2,2,0.0,0,0,1,0,0,89,0,0,2,0,0,5,0,0.17,8,1.0,0.04825631399430571,False
ColorSpaceCache,3.0,1,0,1.0,1,2,4,0.0,1,0,1,1,0,76,0,0,3,0,0,2,0,1.0,6,1.0,0.05571586133457108,False
ContentHandlerFactory,0.0,0,0,1.0,0,4,4,0.0,0,0,0,0,0,46,0,0,0,0,6,2,0,0.0,0,1.0,0.02142213663213375,False
ObjectSource,0.0,0,0,1.0,0,3,3,0.0,0,0,0,0,0,13,0,0,0,0,6,2,0,0.0,0,1.0,1,0
ObjectBuiltListener,0.0,0,0,1.0,0,6,6,0.0,0,0,0,0,0,9,0,0,0,0,7,1,0,1.0,0,1.0,1,0
CloseBlockerOutputStream,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,20,0,0,0,0,0,2,0,1.0,2,1.0,0.027189017857807248,False
BreakUtil,3.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,3,0,0.0,9,1.0,0.026156667694246093,False
1,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,25,0,0,0,0,0,1,0,1.0,1,1.0,1,0
ColorProfileUtil,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,28,0,0,0,0,0,3,0,0.0,3,1.0,0.0985497547598996,False
CompareUtil,2.4,0,0,1.0,0,0,0,0.0,0,0,0,0,0,73,0,0,1,0,0,5,0,0.0,12,1.0,0.10662980626104161,False
ConversionUtils,5.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,90,0,0,0,0,0,3,0,0.0,15,1.0,0.2580180687299648,False
DataURIResolver,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,18,0,0,1,0,0,1,0,1.0,1,1.0,0.042603446444916704,False
DataURLUtil,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,35,0,0,0,0,0,3,0,0.0,3,1.0,0.04311065674172356,False
DOM2SAX,5.86,0,0,1.0,1,2,2,0.0,0,0,1,0,0,257,0,0,5,0,0,7,0,0.4,41,1.0,0.043698852507507775,False
HexEncoder,2.0,0,0,1.0,1,0,0,0.0,0,0,1,0,0,40,0,0,0,0,0,3,0,0.0,6,1.0,0.052253403610704366,False
LanguageTags,1.67,0,0,1.0,0,0,0,0.0,0,0,0,0,0,37,0,0,0,0,0,3,0,0.0,5,1.0,0.038797372475054825,False
ListUtil,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,28,0,0,0,0,0,3,0,0.0,3,1.0,0.14225407990373445,False
LogUtil,1.67,0,0,1.0,1,0,0,0.0,0,0,2,0,0,33,0,0,0,0,0,3,0,0.0,5,1.0,0.06006296665597905,False
OCAColorSpace,2.6,0,0,1.0,0,0,0,0.0,0,1,0,0,0,45,0,0,1,0,0,5,0,0.0,13,1.0,0.2559227979813649,False
UnclosableInputStream,1.0,0,0,1.0,0,0,0,0.0,0,2,0,0,0,19,0,0,0,0,0,2,0,1.0,2,1.0,0.041149639186605115,False
WriterOutputStream,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,47,0,0,1,0,0,7,0,1.0,7,1.0,0.05747024266312285,False
XMLUtil,2.67,0,0,1.0,1,0,0,0.0,0,0,2,0,0,303,14,0,0,0,0,18,0,0.01,48,1.0,0.4851370411983255,False
AdvancedMessageFormatTestCase,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,155,0,0,0,0,0,5,0,0.0,5,1.0,0.05365215474332952,False
BitmapImageUtilTestCase,1.83,0,0,1.0,2,0,0,0.0,0,0,5,0,0,122,0,0,2,0,0,6,0,0.0,11,1.0,0.013593792855246837,False
CharUtilitiesTestCase,2.2,0,0,1.0,1,0,0,0.0,0,0,4,0,0,45,0,0,0,0,0,5,0,0.0,11,1.0,0.07086285518109503,False
ColorUtilTestCase,1.12,2,0,1.0,4,0,0,0.0,1,0,7,2,0,295,0,0,1,0,0,8,0,0.04,9,1.0,0.24196742135672827,False
CompareUtilTestCase,4.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,64,0,0,0,0,0,1,0,1.0,4,1.0,0.21627056704624464,False
ConsoleEventListenerForTests,3.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,62,0,0,2,0,0,4,0,0.0,12,1.0,0.12306300135606286,False
ElementListUtilsTestCase,1.0,7,0,1.0,5,0,0,0.0,0,0,8,5,0,115,0,0,0,0,0,4,0,1.0,4,1.0,6.801998617812824,False
