NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
TokenSource,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,1,0,1
Calculator,6.5,2,0,1,1,2,4,0.5,4,0,5,1,0,356,0,0,5,0,0,10,0,0.05,65,1
RowOutputInterface,0,0,0,1,0,22,44,0,0,0,0,0,0,56,0,0,0,0,7,24,0,0,0,1
RowInputInterface,0,0,0,1,0,15,21,0,0,0,0,0,0,32,0,0,0,0,6,15,0,0,0,1
CodeSwitcher,6.08,0,0,1,0,0,0,3,0,0,0,0,0,425,0,0,6,0,0,12,0,0.2,73,1
CommonSwing,3.83,0,0,1,0,0,0,0,0,0,0,0,0,183,0,0,6,0,0,6,0,0.07,23,1
ConnectionDialog,2.25,6,0,1,2,0,0,0,0,4,6,2,0,285,0,0,11,0,0,8,0,0.29,18,1
1,2,11,0,1,2,0,0,0.5,0,1,11,2,0,17,0,0,0,0,0,1,0,1,2,1
ConnectionSetting,1.44,0,0,1,0,4,7,0,0,0,0,0,0,62,0,0,5,5,0,9,0,0,13,1
2,1,3,0,1,2,0,0,0.5,0,1,4,2,0,13,0,0,0,0,0,1,0,1,1,1
ConnectionDialogSwing,2.78,13,0,1,3,0,0,1,1,5,13,3,10,319,0,0,13,0,0,9,0,0.14,25,1
CSVWriter,2,0,0,1,0,1,1,0,0,0,0,0,0,92,0,0,4,0,0,6,0,0.1,12,1
StatementExecRunnable,1,2,0,1,3,0,0,0,0,0,10,1,0,28,0,0,0,0,0,2,0,1,2,1
FontDialogSwing,2.2,4,0,1,2,0,0,0.5,1,5,7,2,0,271,0,0,14,0,0,5,0,0.9,11,1
Row,4.5,3,0,1,1,0,0,0,0,0,3,1,0,40,0,0,1,0,0,2,0,1,9,1
MouseHandler,2,0,0,1,1,0,0,0,0,1,3,0,0,26,0,0,0,0,0,2,0,1,4,1
TableModelHandler,4,0,0,1,1,0,0,0,0,0,5,0,0,62,0,0,0,0,0,2,0,1,8,1
SortableHeaderRenderer,1.5,0,0,1,1,0,0,0,0,0,1,0,0,30,0,0,1,0,0,2,0,1,3,1
AntResolver,1,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,3,0,1,3,1
IResolver,0,0,0,1,0,1,3,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,1
Defines,2.2,1,0,1,4,2,4,1,1,0,12,1,0,156,0,0,1,0,0,10,0,0.57,22,1
AuthBeanMultiplexer,2.3,3,0,1,4,0,0,0,2,0,4,3,0,228,0,0,3,0,0,10,0,0.19,23,1
AuthFunctionBean,0,0,0,1,0,1,1,0,0,0,0,0,0,22,0,0,0,0,3,1,0,1,0,1
UPCallbackHandler,3,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,2,0,0,2,0,1,6,1
LdapAuthBeanTester,19,10,0,1,1,0,0,1,0,0,16,1,10,174,0,0,0,0,0,1,0,1,19,1
IndexAVLMemory,10.17,5,4,0.2,13,0,0,3,0,1,20,5,101,401,0,0,0,0,0,6,0,0,61,1
