NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
TokenSource,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,3,0,0,0,0,2,1,0,1.0,0,1.0,1,0
Calculator,6.5,2,0,1.0,1,2,4,0.5,4,0,5,1,0,356,0,0,5,0,0,10,0,0.05,65,1.0,0.04186126790734141,False
RowOutputInterface,0.0,0,0,1.0,0,22,44,0.0,0,0,0,0,0,56,0,0,0,0,7,24,0,0.0,0,1.0,0.013211150432854236,False
RowInputInterface,0.0,0,0,1.0,0,15,21,0.0,0,0,0,0,0,32,0,0,0,0,6,15,0,0.0,0,1.0,1,False
CodeSwitcher,6.08,0,0,1.0,0,0,0,3.0,0,0,0,0,0,425,0,0,6,0,0,12,0,0.2,73,1.0,0.02844648157625472,False
CommonSwing,3.83,0,0,1.0,0,0,0,0.0,0,0,0,0,0,183,0,0,6,0,0,6,0,0.07,23,1.0,0.012753611196278412,False
ConnectionDialog,2.25,6,0,1.0,2,0,0,0.0,0,4,6,2,0,285,0,0,11,0,0,8,0,0.29,18,1.0,0.08000000000000004,False
1,2.0,11,0,1.0,2,0,0,0.5,0,1,11,2,0,17,0,0,0,0,0,1,0,1.0,2,1.0,1,0
ConnectionSetting,1.44,0,0,1.0,0,4,7,0.0,0,0,0,0,0,62,0,0,5,5,0,9,0,0.0,13,1.0,0.03161286881120992,False
2,1.0,3,0,1.0,2,0,0,0.5,0,1,4,2,0,13,0,0,0,0,0,1,0,1.0,1,1.0,1,0
ConnectionDialogSwing,2.78,13,0,1.0,3,0,0,1.0,1,5,13,3,10,319,0,0,13,0,0,9,0,0.14,25,1.0,0.017243366317105654,False
CSVWriter,2.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,92,0,0,4,0,0,6,0,0.1,12,1.0,0.02946771171421598,False
StatementExecRunnable,1.0,2,0,1.0,3,0,0,0.0,0,0,10,1,0,28,0,0,0,0,0,2,0,1.0,2,1.0,1,0
FontDialogSwing,2.2,4,0,1.0,2,0,0,0.5,1,5,7,2,0,271,0,0,14,0,0,5,0,0.9,11,1.0,0.04306468742100493,False
Row,4.5,3,0,1.0,1,0,0,0.0,0,0,3,1,0,40,0,0,1,0,0,2,0,1.0,9,1.0,0.09345387786808544,False
MouseHandler,2.0,0,0,1.0,1,0,0,0.0,0,1,3,0,0,26,0,0,0,0,0,2,0,1.0,4,1.0,1,0
TableModelHandler,4.0,0,0,1.0,1,0,0,0.0,0,0,5,0,0,62,0,0,0,0,0,2,0,1.0,8,1.0,1,0
SortableHeaderRenderer,1.5,0,0,1.0,1,0,0,0.0,0,0,1,0,0,30,0,0,1,0,0,2,0,1.0,3,1.0,1,0
AntResolver,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,17,0,0,1,0,0,3,0,1.0,3,1.0,0.163265306122449,False
IResolver,0.0,0,0,1.0,0,1,3,0.0,0,0,0,0,0,4,0,0,0,0,2,2,0,0.0,0,1.0,0.11111111111111116,False
Defines,2.2,1,0,1.0,4,2,4,1.0,1,0,12,1,0,156,0,0,1,0,0,10,0,0.57,22,1.0,0.03726806589767691,False
AuthBeanMultiplexer,2.3,3,0,1.0,4,0,0,0.0,2,0,4,3,0,228,0,0,3,0,0,10,0,0.19,23,1.0,0.10940425609379574,False
AuthFunctionBean,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,22,0,0,0,0,3,1,0,1.0,0,1.0,1,0
UPCallbackHandler,3.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,33,0,0,2,0,0,2,0,1.0,6,1.0,1,0
LdapAuthBeanTester,19.0,10,0,1.0,1,0,0,1.0,0,0,16,1,10,174,0,0,0,0,0,1,0,1.0,19,1.0,1,0
IndexAVLMemory,10.17,5,4,0.2,13,0,0,3.0,0,1,20,5,101,401,0,0,0,0,0,6,0,0.0,61,1.0,0.13224592433438537,False
1,2.0,1,0,1.0,2,0,0,0.0,0,2,4,1,0,26,0,0,1,0,0,1,0,1.0,2,1.0,1,0
OutputStreamAdapter,1.57,0,0,1.0,1,0,2,0.0,0,1,1,0,0,58,0,0,1,0,2,7,0,1.0,11,1.0,1,0
InputStreamAdapter,1.71,1,0,1.0,2,0,2,0.0,1,1,9,1,0,75,0,0,1,0,2,7,0,1.0,12,1.0,1,0
JDBCCallableStatement,1.63,7,1,0.15,18,0,0,1.0,1,2,52,5,2100,5691,105,0,5,0,0,125,0,0.33,204,1.0,5.3713050238098194,False
JDBCClob,3.9,0,0,1.0,3,3,6,0.0,1,0,8,0,0,946,0,0,9,0,1,20,0,0.02,78,1.0,1.5708702845537048,False
WriterAdapter,2.0,2,0,1.0,3,0,1,0.0,0,1,6,2,0,63,0,0,1,0,1,4,0,1.0,8,1.0,1,0
JDBCConnectionEventListener,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,6,0,0,0,0,2,2,0,0.0,0,1.0,1,0
JDBCDataSource,2.29,0,0,0.5,2,0,0,0.0,0,1,3,0,0,162,5,0,0,0,0,7,0,0.2,16,1.0,0.04106596422545588,False
JDBCDataSourceFactory,7.0,4,0,1.0,1,0,0,0.5,0,0,4,1,0,177,0,0,10,0,0,3,0,1.0,21,1.0,0.021750611921135508,False
JDBCResultSetMetaData,1.83,9,0,1.0,8,0,0,0.0,1,0,27,3,1100,924,0,0,4,0,0,29,0,0.5,53,1.0,1.2468994467423578,False
JDBCResultSetBasic,1.73,0,10,0.67,6,0,0,0.0,0,1,8,0,0,101,0,0,0,0,0,11,0,0.13,19,1.0,1,0
JDBCRowId,1.5,0,0,1.0,3,0,0,0.0,1,0,5,0,0,143,0,0,2,0,0,8,0,0.6,12,1.0,0.07000510301062936,False
JDBCSQLXML,1.66,1,0,1.0,5,1,1,0.0,2,0,18,1,0,2809,0,0,18,2,0,62,0,0.01,103,1.0,1.9150260894325424,False
JDBCUtil,1.43,7,0,1.0,4,0,0,3.0,0,0,15,2,1000,892,0,0,0,0,0,23,0,0.06,33,1.0,4.428319480933764,False
