NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
ApplyXPath,3.25,0,0,1,1,0,0,0,0,0,1,0,0,91,0,0,2,0,0,4,0,0.33,13,1
ApplyXPathDOM,3.25,0,0,1,1,0,0,0.5,0,0,1,0,0,98,0,0,2,0,0,4,0,0.33,13,1
ButtonHandler,0.5,1,0,1,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,0,1,1,1
AppletErrorListener,0.8,0,0,1,1,0,0,0,0,0,1,0,0,18,0,0,0,0,0,5,0,0,4,1
TransformHandler,3.25,0,0,1,0,0,0,0.5,0,0,0,0,0,103,0,0,5,0,0,4,0,0.5,13,1
TransformHome,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1
TransformRemote,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1
TransformServlet,1,0,0,1,2,0,0,0,1,2,2,0,0,54,0,0,2,0,0,3,0,0.33,3,1
Compile,0.75,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,4,0,0.33,3,1
Transform,0.75,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,4,0,0.33,3,1
CompileServlet,2,1,0,1,1,0,0,0,0,2,4,1,0,39,0,0,0,0,0,1,0,1,2,1
DOM2DOM,3,0,0,1,4,0,0,0,0,0,5,0,0,62,0,0,0,0,0,1,0,1,3,1
IntDate,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,1,1
ExternalConnection,2,3,0,1,2,0,0,0.5,0,0,7,1,0,63,0,0,0,0,0,1,0,1,2,1
Pipe,3,0,0,1,3,0,0,0,0,0,4,0,0,41,0,0,0,0,0,1,0,1,3,1
SAX2SAX,3,0,0,1,3,0,0,0,0,0,4,0,0,59,0,0,0,0,0,1,0,1,3,1
SimpleTransform,1,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,1,1,1
Trace,3,6,0,1,3,0,0,0.5,0,0,8,2,0,54,0,0,0,0,0,1,0,1,3,1
JAXPTransletMultipleTransformations,1,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,2,0,0,2,1
JAXPTransletOneTransformation,1,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0,1,1,1
ExampleContentHandler,1.17,0,0,1,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,12,0,1,14,1
Examples,1.79,0,0,1,1,0,0,1,0,0,1,0,0,775,0,0,0,0,0,19,0,0.8,34,1
UseStylesheetParam,2,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,1,2,1
UseStylesheetPI,1,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,1,1,1
UseXMLFilters,3,0,0,1,3,0,0,0,0,0,4,0,0,56,0,0,0,0,0,1,0,1,3,1
XMLFileFilter,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,2,1
ValidateXMLInput,1,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,3,0,0,3,1
ApplyXPathJAXP,4.4,0,0,1,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,5,0,0.3,22,1
ExtensionTest,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,1,1
XPathResolver,1,0,0,1,3,0,0,0,0,0,3,0,0,125,0,0,1,0,0,1,0,1,1,1
MyFunctionResolver,1,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,0,1,2,1
1,2,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,1,0,1,2,1
MyVariableResolver,1.5,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,1,3,1
AbsolutePathPattern,2.25,1,0,1,6,0,0,0,1,4,10,1,0,88,0,0,1,0,0,8,0,0.71,18,1
Pattern,0,0,2,0,0,3,6,0,0,2,0,0,0,26,1,0,0,0,11,3,0,0,0,1
ApplyImports,1.67,6,2,1,7,0,0,0,1,2,18,3,0,114,1,0,2,0,0,6,0,0.2,10,1
