NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
ApplyXPath,3.25,0,0,1.0,1,0,0,0.0,0,0,1,0,0,91,0,0,2,0,0,4,0,0.33,13,1.0,1,0
ApplyXPathDOM,3.25,0,0,1.0,1,0,0,0.5,0,0,1,0,0,98,0,0,2,0,0,4,0,0.33,13,1.0,1,0
ButtonHandler,0.5,1,0,1.0,1,0,0,0.0,0,0,1,1,0,5,0,0,0,0,0,2,0,1.0,1,1.0,1,0
AppletErrorListener,0.8,0,0,1.0,1,0,0,0.0,0,0,1,0,0,18,0,0,0,0,0,5,0,0.0,4,1.0,1,0
TransformHandler,3.25,0,0,1.0,0,0,0,0.5,0,0,0,0,0,103,0,0,5,0,0,4,0,0.5,13,1.0,1,0
TransformHome,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,3,0,0,0,0,0,1,0,1.0,0,1.0,1,0
TransformRemote,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,4,0,0,0,0,0,1,0,1.0,0,1.0,1,0
TransformServlet,1.0,0,0,1.0,2,0,0,0.0,1,2,2,0,0,54,0,0,2,0,0,3,0,0.33,3,1.0,1,0
Compile,0.75,0,0,1.0,0,0,0,0.0,0,0,0,0,0,39,0,0,0,0,0,4,0,0.33,3,1.0,1,0
Transform,0.75,0,0,1.0,0,0,0,0.0,0,0,0,0,0,45,0,0,0,0,0,4,0,0.33,3,1.0,0.10744374174483319,False
CompileServlet,2.0,1,0,1.0,1,0,0,0.0,0,2,4,1,0,39,0,0,0,0,0,1,0,1.0,2,1.0,1,0
DOM2DOM,3.0,0,0,1.0,4,0,0,0.0,0,0,5,0,0,62,0,0,0,0,0,1,0,1.0,3,1.0,1,0
IntDate,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,12,0,0,0,0,0,1,0,1.0,1,1.0,1,0
ExternalConnection,2.0,3,0,1.0,2,0,0,0.5,0,0,7,1,0,63,0,0,0,0,0,1,0,1.0,2,1.0,1,0
Pipe,3.0,0,0,1.0,3,0,0,0.0,0,0,4,0,0,41,0,0,0,0,0,1,0,1.0,3,1.0,1,0
SAX2SAX,3.0,0,0,1.0,3,0,0,0.0,0,0,4,0,0,59,0,0,0,0,0,1,0,1.0,3,1.0,1,0
SimpleTransform,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,24,0,0,0,0,0,1,0,1.0,1,1.0,1,0
Trace,3.0,6,0,1.0,3,0,0,0.5,0,0,8,2,0,54,0,0,0,0,0,1,0,1.0,3,1.0,1,0
JAXPTransletMultipleTransformations,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,46,0,0,0,0,0,2,0,0.0,2,1.0,1,0
JAXPTransletOneTransformation,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,36,0,0,0,0,0,1,0,1.0,1,1.0,1,0
ExampleContentHandler,1.17,0,0,1.0,0,0,0,0.0,0,0,0,0,0,92,0,0,0,0,0,12,0,1.0,14,1.0,1,0
Examples,1.79,0,0,1.0,1,0,0,1.0,0,0,1,0,0,775,0,0,0,0,0,19,0,0.8,34,1.0,1,0
UseStylesheetParam,2.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,24,0,0,0,0,0,1,0,1.0,2,1.0,1,0
UseStylesheetPI,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,26,0,0,0,0,0,1,0,1.0,1,1.0,1,0
UseXMLFilters,3.0,0,0,1.0,3,0,0,0.0,0,0,4,0,0,56,0,0,0,0,0,1,0,1.0,3,1.0,1,0
XMLFileFilter,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,0,2,0,1.0,2,1.0,1,0
ValidateXMLInput,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,73,0,0,0,0,0,3,0,0.0,3,1.0,1,0
ApplyXPathJAXP,4.4,0,0,1.0,0,0,0,0.0,0,0,0,0,0,134,0,0,0,0,0,5,0,0.3,22,1.0,1,0
ExtensionTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,0,1,0,1.0,1,1.0,1,0
XPathResolver,1.0,0,0,1.0,3,0,0,0.0,0,0,3,0,0,125,0,0,1,0,0,1,0,1.0,1,1.0,1,0
MyFunctionResolver,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,36,0,0,0,0,0,2,0,1.0,2,1.0,1,0
1,2.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,15,0,0,0,0,0,1,0,1.0,2,1.0,1,0
MyVariableResolver,1.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,13,0,0,0,0,0,2,0,1.0,3,1.0,1,0
AbsolutePathPattern,2.25,1,0,1.0,6,0,0,0.0,1,4,10,1,0,88,0,0,1,0,0,8,0,0.71,18,1.0,0.040000000000000036,False
Pattern,0.0,0,2,0.0,0,3,6,0.0,0,2,0,0,0,26,1,0,0,0,11,3,0,0.0,0,1.0,1,0
ApplyImports,1.67,6,2,1.0,7,0,0,0.0,1,2,18,3,0,114,1,0,2,0,0,6,0,0.2,10,1.0,0.04451019532140051,False
Instruction,1.0,0,0,0.02,2,0,0,0.0,0,1,3,0,0,16,0,0,0,0,26,2,0,0.0,2,1.0,1,0
ApplyTemplates,5.4,3,2,1.0,13,0,0,1.0,3,2,32,2,0,141,1,0,4,0,0,5,0,0.6,27,1.0,0.11111111111111116,False
ArgumentList,1.5,0,0,1.0,1,0,0,0.0,2,0,1,0,0,13,0,0,2,0,0,2,0,1.0,3,1.0,0.11111111111111106,False
Attribute,1.0,0,0,1.0,2,0,0,0.0,1,2,2,0,0,16,0,0,1,0,0,2,0,1.0,2,1.0,0.1632653061224492,False
UseAttributeSets,2.25,2,2,1.0,8,2,4,0.0,0,2,12,2,0,72,1,0,2,0,0,4,0,0.33,9,1.0,0.01279800683447643,False
AttributeValue,3.0,0,0,0.0,2,0,0,0.0,0,2,2,0,0,17,1,2,0,0,2,1,0,1.0,3,1.0,0.06750000000000023,False
BooleanCall,1.33,0,0,0.05,1,0,0,0.0,1,3,3,0,0,23,0,0,1,0,0,3,0,1.0,4,1.0,0.1111111111111111,False
CallTemplate,5.14,8,1,1.0,15,0,0,0.5,2,2,29,7,0,216,2,0,3,0,0,7,0,0.52,36,1.0,0.05514717178264782,False
CastCall,2.33,1,0,0.11,4,0,0,0.0,1,3,9,1,0,56,0,0,2,0,0,3,0,1.0,7,1.0,0.22222222222222213,False
FlowList,2.43,0,0,1.0,0,22,29,0.0,1,0,0,0,0,80,0,0,1,0,0,7,0,1.0,17,1.0,0.06740955721219223,False
CeilingCall,1.0,0,0,0.05,0,0,0,0.0,0,3,0,0,0,12,0,0,0,0,0,2,0,1.0,2,1.0,0.11111111111111117,False
Choose,8.5,3,1,1.0,9,0,0,0.5,0,2,17,3,0,120,0,0,0,0,0,2,0,0.0,17,1.0,1,0
Otherwise,1.0,0,2,1.0,4,0,0,0.0,0,2,5,0,0,19,0,0,0,0,0,3,0,0.0,3,1.0,1,0
Closure,0.0,0,0,1.0,0,3,3,0.0,0,0,0,0,0,24,0,0,0,0,3,4,0,0.0,0,1.0,1,0
Comment,2.33,1,2,1.0,4,0,0,0.0,0,2,7,1,0,66,0,0,0,0,0,3,0,0.0,7,1.0,1,0
Text,2.64,3,1,1.0,5,6,6,0.0,0,2,7,3,0,199,5,0,4,1,0,14,0,0.41,37,1.0,0.16042782206142678,False
ConcatCall,2.67,0,0,0.21,2,0,0,0.0,0,3,3,0,0,48,0,0,0,0,0,3,0,0.0,8,1.0,0.1111111111111111,False
ContainsCall,1.6,0,2,0.11,5,0,0,0.0,1,3,6,0,0,64,1,0,2,0,0,5,0,0.17,8,1.0,0.020705455440771868,False
Copy,2.5,0,2,1.0,6,0,0,0.0,1,2,16,0,0,93,0,0,1,0,0,4,0,0.5,10,1.0,1,0
CopyOf,3.25,1,2,1.0,8,0,0,0.0,1,2,15,1,0,83,0,0,1,0,0,4,0,1.0,13,1.0,1,0
