NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
Assertion,2.5,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0.17,10,1
Counter,5.15,6,0,1,9,0,0,3.5,0,3,17,4,1100,622,2,0,22,0,0,13,0,0.29,67,1
DocumentTracer,2.85,11,0,1,13,0,0,4,2,3,40,4,1110,1538,3,0,17,0,0,60,0,0.83,171,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,12,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
UpperCaseFilter,1.75,5,0,1,1,0,0,0.5,1,1,5,1,0,81,0,0,1,0,0,4,0,0,7,1
Counter,6.42,0,0,1,0,0,0,0.5,0,1,0,0,0,741,0,0,32,0,0,12,0,0.22,77,1
DocumentTracer,2.71,0,0,1,0,0,0,2.5,0,1,0,0,0,1115,0,0,28,0,0,38,0,0.75,103,1
DefaultImages,1,0,0,1,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,3,0,0,3,1
DOMTree,1,1,0,1,1,2,3,0,0,4,4,1,0,249,0,0,1,0,0,5,0,0,5,1
1,1,0,0,1,0,0,0,0,0,4,0,0,0,10,0,0,1,0,0,2,0,0,2,1
2,1,0,0,1,0,0,0,0,0,4,0,0,0,10,0,0,1,0,0,2,0,0,2,1
XMLTreeCellRenderer,7.5,5,0,1,3,0,0,0.5,0,5,6,2,0,49,0,0,1,0,0,2,0,1,15,1
3,1,0,0,1,1,0,0,0,0,1,1,0,0,8,0,0,0,0,0,1,0,1,1,1
4,1,0,0,1,0,0,0,0,0,4,0,0,0,10,0,0,1,0,0,2,0,0,2,1
5,1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
TreeViewer,1,0,0,1,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,3,0,1,3,1
IndentingWriter,1.33,0,0,1,0,1,25,0,0,2,0,0,0,75,0,0,5,0,0,9,0,0.32,12,1
Stylesheet,2,0,0,1,4,0,0,0,0,0,7,0,0,41,0,0,0,0,0,1,0,1,2,1
XIncludeAwareParserConfiguration,3.38,7,1,0.14,10,0,0,1,4,2,17,4,1,254,0,0,11,0,5,8,0,1,27,1
LocatorProxy,1,0,0,1,1,0,0,0,1,0,6,0,0,52,0,0,1,0,0,7,0,1,7,1
XMLParser,1,0,0,1,1,1,1,0,1,0,2,0,0,77,0,0,4,0,18,3,0,0,3,1
SynchronizedGrammarPool,1,0,0,1,0,0,0,0,1,0,0,0,0,136,0,0,1,0,0,7,0,1,7,1
ShadowedGrammarPool,1.5,0,0,0,0,0,0,0,1,1,0,0,0,88,0,0,1,0,0,6,0,0.3,9,1
