NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
Assertion,2.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,4,0,0.17,10,1.0,0.04893651374015197,False
Counter,5.15,6,0,1.0,9,0,0,3.5,0,3,17,4,1100,622,2,0,22,0,0,13,0,0.29,67,1.0,0.46309799910614535,False
DocumentTracer,2.85,11,0,1.0,13,0,0,4.0,2,3,40,4,1110,1538,3,0,17,0,0,60,0,0.83,171,1.0,0.45605815508398506,False
1,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,9,0,0,0,0,0,1,0,1.0,1,1.0,1,0
2,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,9,0,0,0,0,0,1,0,1.0,1,1.0,1,0
3,2.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,12,0,0,0,0,0,1,0,1.0,2,1.0,1,0
4,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
5,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
6,2.0,0,0,1.0,1,0,0,0.0,0,1,2,0,0,11,0,0,0,0,0,1,0,1.0,2,1.0,1,0
7,2.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,2,1.0,1,0
8,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
UpperCaseFilter,1.75,5,0,1.0,1,0,0,0.5,1,1,5,1,0,81,0,0,1,0,0,4,0,0.0,7,1.0,0.06173454705193984,False
Counter,6.42,0,0,1.0,0,0,0,0.5,0,1,0,0,0,741,0,0,32,0,0,12,0,0.22,77,1.0,0.46309799910614535,False
DocumentTracer,2.71,0,0,1.0,0,0,0,2.5,0,1,0,0,0,1115,0,0,28,0,0,38,0,0.75,103,1.0,0.45605815508398506,False
DefaultImages,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,469,0,0,0,0,0,3,0,0.0,3,1.0,0.1597633136094676,False
DOMTree,1.0,1,0,1.0,1,2,3,0.0,0,4,4,1,0,249,0,0,1,0,0,5,0,0.0,5,1.0,0.08914362386109137,False
1,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,10,0,0,1,0,0,2,0,0.0,2,1.0,1,0
